"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-09-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,90.87,,,-13.83,,,,ru,false,32
2022-10-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,77.64,,,-13.23,,77.64,2022-11-01,ru,false,32
2022-12-01,"7iS0Md8Z5SFpqNAYOVcs4w==",game 3,68.64,68.64,,,,68.64,2023-01-01,uk,false,18
2022-12-01,"7L4SKPGMd33lnSOq6PWyYg==",game 3,70.14,70.14,,,,70.14,2023-01-01,uk,false,30
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,16.92,16.92,,,,16.92,2022-05-01,uk,false,29
2022-09-01,"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,15.06,,,,15.06,15.06,2022-10-01,uk,false,29
2022-10-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,25.89,25.89,,,,,,ru,false,21
2022-11-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,87.75,,61.86,,,,,ru,false,21
2022-12-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,66.93,,,-20.82,,66.93,2023-01-01,ru,false,21
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,34.74,34.74,,,,,,ru,false,22
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,105.96,,71.22,,,,,ru,false,22
2022-05-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,62.61,,,-43.35,,62.61,2022-06-01,ru,false,22
2022-07-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,82.32,,,,82.32,,,ru,false,22
2022-08-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,55.56,,,-26.76,,,,ru,false,22
2022-09-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,22.71,,,-32.85,,,,ru,false,22
2022-10-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,37.44,,14.73,,,,,ru,false,22
2022-11-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,84.15,,46.71,,,,,ru,false,22
2022-12-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,15.99,,,-68.16,,15.99,2023-01-01,ru,false,22
2022-07-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,31.59,31.59,,,,,,uk,false,21
2022-08-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,82.08,,50.49,,,,,uk,false,21
2022-09-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,73.29,,,-8.79,,,,uk,false,21
